20070123155027AA7UTFD	Entertainment & Music;Polls & Surveys	Are you into romance or blood and gore?	I like a combination of both and yes I'm weird. =P
20070405000644AAnZAir	Entertainment & Music;Polls & Surveys	This i s funny do you agree?	YAHOO CUSTOMER CARE........ SORRY   A guy walks into a bar and sits down. He starts dialing numbers... like a telephone... on his hand and talking into his hand. The bartender walks over and tells him this is a very tough neighborhood and he doesn't need any trouble here. The guy says, "You don't understand. I'm very hi-tech. I had a phone installed in my hand because I was tired of carrying the cellular." The bartender says "Prove it." The guy dials up a number and hands his hand to the bartender. The bartender talks into the hand and carries on a conversation. "That's incredible", says the bartender... "I would never have believed it!" "Yeah", said the guy, "I can keep in touch with my broker, my wife, you name it. By the way, where is the men's room?" The bartender directs him to the men's room. The guy goes in and 5, 10, 20 minutes go by and he doesn't return. Fearing the worst given the neighborhood, the bartender goes into the men's room. There is the guy spread-eagle on the wall. His pants are pulled down and he has a roll of toilet paper up his butt. "Oh my god!" said the bartender. "Did they rob you? Are you hurt?" The guy turns and says: "No, I'm ok. I'm just waiting for a fax."
20070415224242AA6O6jU	Entertainment & Music;Polls & Surveys	Why do people "assume" that ALL black people approve of the offensive language in rap music?	Not ALL black people approve of the dehumanizing, degrading language. Therefore, whether it's a non-black person or a black person, it is NOT APPROPRIATE to make a racial slur.....period!! Don Imus was wrong; and everyone who puts-down a (human being) race is wrong.
20070426033852AA0gcAv	Entertainment & Music;Polls & Surveys	Do you agree? "Shedding pounds" is difficult and "keeping the pounds off" is harder?	I started a diet today. Wish me luck please!
20070416133731AAcSOlY	Entertainment & Music;Polls & Surveys	When you have lost yourself,what goes missing or what are the signals?	N/A
20070425195145AA9XEQT	Entertainment & Music;Polls & Surveys	To the cooks out there: What's you favorite dish to make?	(No favorite foods mentioned please.)
20070408194911AAPXy31	Entertainment & Music;Television	Quem aqui gosta do seriado Eu, a patroa e as crian?as?	N/A
20070430124153AAnrzM1	Entertainment & Music;Comics & Animation	Pq o super-man usa cueca em cima da cal?a?	N/A
20070312232140AAc6QKe	Entertainment & Music;Music	Bone thugs n harmony?	do you think their upcoming album strength and loyalty will be any good and will they actually make a strong come back?
20070423133545AABQeCJ	Entertainment & Music;Movies	Qual é a cena de filme que você mais gostou de ver?	De que filme foi?    Diz um pouco como foi e  porque vc gostou da cena,    os atores que dela participaram. Bjks
20070413103605AA928aY	Entertainment & Music;Music	Quien grabó el disco mas vendido de la historia en mexico?	con que cancion, que lleva ya 20 millones de discos vendidos desde su lanzamiento!
20070411085338AA4UcpI	Entertainment & Music;Polls & Surveys	What did you do to him...!?	N/A
20070421160249AAzJ6rU	Entertainment & Music;Television	Hoje em super cine: "melhor impossvel". Excelente filme!.?	N?o quero tirar vocs daqui, mas para quem n?o assistiu, vale a pena assistir e voltar.   com Jack Nicholson, ser que presta?.    Abra?o.
20070414142524AA5cXYO	Entertainment & Music;Movies	What are some of your favorite snacks when watching movies?	N/A
20070419045931AALlkhL	Entertainment & Music;Jokes & Riddles	Who needs a marriage counsellor like this?	After 25 years of marriage, a man and his wife came in for counselling. When asked what the problem was, the wife went into an angry tirade, listing every problem they had ever had in their 25 years of marriage.      She went on and on -- neglect, lack of intimacy, emptiness, loneliness, feeling unloved and unloveable -- a long list of unmet needs in their quarter-century of marriage.      After allowing this go on for a sufficient length of time, the marriage counsellor finally stood up, walked around his desk and, asking the wife to stand, embraced her and kissed her passionately on the mouth.      The woman shut up and, in a daze, quietly sat down. The therapist turned to her husband and said, "This is what your wife needs at least seven times a week. Do you think you can do this?"      The husband thought for a moment, then replied, "Well, Doc, I can drop her off here on Monday's and Wednesday's, but on the other days I play golf."
20070407190600AAr9KN5	Entertainment & Music;Movies	What is the title of this movie!?	Years ago, I remember a movie that began with people attacking a pharmacy with guns and killing everybody.   Anybody know what movie this was?
20070426054455AAziI3E	Entertainment & Music;Movies	The Monkey's Mask?	Does anyone know where I can watch the movie "The Monkey's Mask" (Kelly McGillis & Susie Porter) online for free?
20070312123616AATuxTk	Entertainment & Music;Polls & Surveys	What book will you reading this summer?	N/A
20070421204720AA74LjR	Entertainment & Music;Polls & Surveys	?que carrera estudiaste?	quiero saber q estudiaste y si trabajas en algo relacionado a lo q estudiaste o es algo q no tiene nada q ver ya q esto pasa mucho, y en q te gustaria trabajar. saludos =)
20070430150231AARsIqS	Entertainment & Music;Movies	Legolas che cosa vedono i tuoi occhi di elfo?	N/A
20070322073302AAkW56C	Entertainment & Music;Polls & Surveys	Hoje em dia.dá p/ confiar em alguém?	N/A
20070418021720AAaGNk5	Entertainment & Music;Celebrities	Can someone tell me why ROSIE O'FAT O'DONNELL still has a job.  she is americas best female idiot?	N/A
20070312192953AAtRNRV	Entertainment & Music;Television	I deleted all my chanells on my extreme viewst by mistake!!! HELP?	N/A
20070409091954AApr5vf	Entertainment & Music;Polls & Surveys	Will the sexy scottish kool aid man....?	tell me what happened last night, or have me wonder till tonight....?
20070408222828AAzSOBM	Entertainment & Music;Jokes & Riddles	Que aporto USA?	en la ciudad de Mexico en 1985 hubo un terremoto, lamentablemente hubo grandes perdidas humanas y economicas,   afortunadamente la comunidad internacional ayudo y mucho   francia mando militares y perros entrenados para rescatar victimas   Alemania aporto donaciones monetarias y medicinas   latinoamerica junto bastantes alimentos   y asi cada pais puso su puno de arena   en el caso de los EU   bueno, ellos mandaron 4 millones de mexicanos para reponer a los caidos   por favor cuenten su chiste de inmigracion y que la comunidad decida cual es el mejor   saludos
20070315011908AAq82Xh	Entertainment & Music;Polls & Surveys	Ho bisogno di tutto il VOSTRO AIUTO!!!?	Stò concorrendo ad una manifestazione che deciderà quale è il miglior manifesto per un film festival a Bucarest, Ma ho bisogno di voti. Mi aiutereste??? Dai ragazzi, forse non è così che dovrei fare, ma vi prego, aiutatemi! GRAZIE! questo è il link  http://www.off-festival.ro/concurs.php?p...     Il manifesto da votare è quello con scritto sotto CRISTINA SI NICOLA. Possibilmente mettete le 5 stelline!   Grazie mille
20070329093524AAXWMtq	Entertainment & Music;Music	What do you think of a guy (male) standing up an singing JT?	it sounded...wierd?  I'm just asking....is it queer at all?
20070424151220AA1jWqx	Entertainment & Music;Polls & Surveys	I Need A Nickname And Bad?	My name is Amy and everyone at my school has cute nick names "HELP ME" decide on a cute one please
20070402213340AAAoRBm	Entertainment & Music;Television	Sei que como modelo n?o tenho a menor chance, será que como ator global me sairia bem?	Estou seriamente pensando em me dedicar a arte da teledramaturgia, será que tenho chance de conseguir um papel na novela das oito?
20070407170347AAKn6CS	Entertainment & Music;Television	Que ator e atriz n?o fariam nenhuma falta caso saíssem de vez da tv ou do cinema???	N/A
20070413050451AAHhFG1	Entertainment & Music;Music	Everyone who knows about trademarks of classical gutars!!?	please e mail me...I need to know about Esteve and Antonio Lorca guitars...
20070412114708AAs8WBg	Entertainment & Music;Music	Do you know anything about Esteve guitars?	they are made in Spain...but what else??
20070428023418AAUBAHm	Entertainment & Music;Music	Everyone knowing about spanish classic guitars....?	please e-mail me!!I need help immediately!!!thanks
20070406124650AAYxtfq	Entertainment & Music;Music	Which do u think is the best pop song of all time?	also the reason for ur answer and y u think its better then other songs
20070425160540AA6Qedt	Entertainment & Music;Music	Does anyone know of any good reggaton music???	i have been interested in it lately but dont know of any except yo te quiero by wisin y yandel....
20070406071741AApWrxu	Entertainment & Music;Television	How do you think will win top design?	i think matt will because he has a great design and it's sophistacated.
20070329163416AAQEdAm	Entertainment & Music;Television	How much of Seinfeld did Jerry Seinfeld write?	I don't find many sitcoms funny.  But, I think Seinfeld was brilliant.  I've seen a few DVDs where they talk with the writers on the show.  This gave me the impression that they were as responsible for the humor as Jerry Seinfeld and Larry David.   Was Seinfeld responsible for certain parts of the show?  The Yankees angle?  Susan's parents?  How collaborative was it?   If the other writers were responsible, have any of them had any post-Seinfeld success.   Thank you.
20070425123756AAtPpK7	Entertainment & Music;Music	In Sweet Child O Mine, does Slash switch from bridge pickup to the other when he starts the run with the wah??	In the middle of the first solo in sweet child O' mine, when he gets past the first "slower" part, and enters the long run with the wah, does he switch from bridge position to the other one (anyone also know the technical name for it on a Les Paul?)      Thanks,      Mike.
20070315233022AAvjJLA	Entertainment & Music;Music	Song lyrics help?	There is this song that I have no idea where it came from. I think it was from a Dreamcast racing game. Possibly test drive 6. the lyrics go      sit down hold on tight   were going to drive all day and all through the night   [inaudiable]      Come on inside, we'll take a ride   we'll drive real far, if you could use my car      Hey there sister, where did you get that name   hey there sister, do you feel the same?         Those lyrics aren't in any order but those are the ones i can make out so far. it is kind of a dance song but not really, very upbeat, makes you want to swing your hips back and forth. please help i've been trying to find the name of this band/song now for almost a year!
20070423181619AAEua30	Entertainment & Music;Television	In the A-Team, what does B.A. Baracus 's initials stand for?  I know "Bad Attitude" & "Bosco" are not certain.	I think Bad Attitude is just the nickname.  Was Bosco the given name?  And what was the A???
20070317181244AATDo1j	Entertainment & Music;Television	Is Kyle XY really coming back on April 2nd 2007?	I saw a trailer of it on ABC Family, saying that the all-new long awaited second season of Kyle XY was coming back. But some other people say that it's coming back in the summer time, to be precise, someone said it was coming back on June 7th. Anyone know for sure?
20070425104712AAI9dDq	Entertainment & Music;Polls & Surveys	How do you like ?	my yahoo 360 page?
